radius_km,window_days,n,n_clusters,a_high,a_low,TE,TE_ci_low,TE_ci_high,NDE,NDE_ci_low,NDE_ci_high,NIE,NIE_ci_low,NIE_ci_high,pct_mediated,n_iter_boot,elapsed_sec
1,365,451212,389,8011262.3933000015,110611.0,0.002822422629178052,0.00124809630215168,0.004460820136591793,0.003228537126305343,0.0013314964453456923,0.005020520463585853,-0.0004061144971272911,-0.0013428444741293787,0.0008892551064491278,-14.388861998515088,200,1837.0477974414825
2,365,451212,389,8011262.3933000015,110611.0,0.008229251247064692,0.0034342144906986507,0.014427194674499334,0.008379313555747205,0.0031886806769762187,0.01392978394869715,-0.000150062308682513,-0.0029978080186992885,0.0018916477449238307,-1.8235232365282203,200,1823.029358625412
3,365,451212,389,8011262.3933000015,110611.0,0.015930806030026286,0.006522996164858341,0.02320773401297629,0.020116788574708427,0.007042439724318683,0.024817834421992303,-0.004185982544682141,-0.00519236084073782,0.003799537708982825,-26.276024808741166,200,1863.851812839508
4,365,451212,389,8011262.3933000015,110611.0,0.02033450215468775,0.007492983480915428,0.032660603523254395,0.02098607821931243,0.006269652722403408,0.034147464949637656,-0.0006515760646246815,-0.006617745105177163,0.004056451935321093,-3.2042882568161257,200,1841.5465989112854
5,365,451212,389,8011262.3933000015,110611.0,0.023871058830928497,0.010520906932651997,0.037755597662180666,0.027486272970935716,0.011069526756182314,0.041634109616279606,-0.0036152141400072196,-0.008807707112282515,0.003782924544066193,-15.144758201187011,200,1851.641582250595
6,365,451212,389,8011262.3933000015,110611.0,0.02840857687022519,0.010492946952581406,0.04481440698727966,0.028244261037828178,0.012709713634103536,0.04461279902607203,0.00016431583239701064,-0.007435461319983005,0.003967234678566458,0.5784021957440213,200,1838.3319640159607
7,365,451212,389,8011262.3933000015,110611.0,0.031545569029763604,0.009389584511518478,0.04618564145639539,0.03387710560973718,0.010806502960622312,0.04819486513733865,-0.002331536579973578,-0.009343749284744263,0.002873633615672593,-7.391011326420351,200,1847.0504376888275
8,365,451212,389,8011262.3933000015,110611.0,0.02577778091628115,0.006876903586089612,0.049741181544959545,0.026734939680813613,0.010892328433692455,0.053818217758089315,-0.0009571587645324647,-0.013923943042755127,0.004739218205213547,-3.713115444812889,200,1829.8041565418243
9,365,451212,389,8011262.3933000015,110611.0,0.018119460880210284,0.00563907939940691,0.05270587578415871,0.02245855357864876,0.010312078334391118,0.05577395409345627,-0.0043390926984384764,-0.011922725848853588,0.0026204511523246774,-23.947140188798596,200,1182.6347525119781
10,365,451212,389,8011262.3933000015,110611.0,0.021650282439729593,0.00392755251377821,0.05880144089460375,0.023620936496724018,0.005538914538919926,0.0639423381537199,-0.0019706540569944253,-0.0128860954195261,0.002249858155846597,-9.102209462995987,200,1192.4514322280884
11,365,451212,389,8011262.3933000015,110611.0,0.027768284058649312,0.0022776680067181586,0.06712084338068962,0.032996529525322116,0.009546267054975034,0.07185022812336685,-0.005228245466672804,-0.016642264649271963,0.0024249862879514705,-18.82811863934495,200,1184.2744240760803
12,365,451212,389,8011262.3933000015,110611.0,0.020709513015748,0.0027034636586904534,0.06570735089480877,0.02606150095108814,0.009921655058860779,0.07333442736417058,-0.005351987935340141,-0.023599578812718392,0.0010456759482622147,-25.843137553598506,200,1185.011753320694
13,365,451212,389,8011262.3933000015,110611.0,0.02376297264775598,0.004209854453802109,0.06661708615720273,0.03264257349384461,0.007652704790234568,0.07464610002934932,-0.008879600846088631,-0.01948344148695469,0.0010460782796144488,-37.36738234611048,200,1183.8290424346924
14,365,451212,389,8011262.3933000015,110611.0,0.021791894817805385,0.005258272215723991,0.06118058748543265,0.03185311679771019,0.008566896617412568,0.07106441594660283,-0.010061221979904805,-0.01960533335804939,0.0024438951164484036,-46.169560123262606,200,1206.9311709403992
15,365,451212,389,8011262.3933000015,110611.0,0.032937949840681935,0.01028279922902584,0.06870365217328073,0.04601552841163023,0.01352452486753464,0.0744754258543253,-0.013077578570948295,-0.020258911699056626,0.002634828165173532,-39.70368111616974,200,1186.9514601230621
16,365,451212,389,8011262.3933000015,110611.0,0.05506435023914569,0.01350601688027382,0.08616173751652241,0.07322694815719216,0.018674084171652793,0.0918688699603081,-0.018162597918046475,-0.02164061740040779,0.004033813253045084,-32.98431351530693,200,1189.3250977993011
17,365,451212,389,8011262.3933000015,110611.0,0.06621749478522446,0.02385520339012146,0.09447959661483767,0.08254648754242919,0.027754617482423784,0.10977065302431586,-0.01632899275720473,-0.023689252138137815,0.0037779152393341083,-24.659635357948222,200,1038.8017735481262
18,365,451212,389,8011262.3933000015,110611.0,0.07567066323752977,0.02565916106104851,0.11410978734493257,0.09391916259444952,0.030441559851169586,0.1360814303159714,-0.018248499356919745,-0.029385606199502944,0.005051391571760179,-24.115685757422018,200,1038.325357913971
19,365,451212,389,8011262.3933000015,110611.0,0.07749744430872818,0.024605635553598404,0.11707679815590381,0.09514034294714802,0.030279757827520373,0.12355026789009578,-0.017642898638419835,-0.025390160828828813,0.00731366351246834,-22.765781240650277,200,1046.799438714981
20,365,451212,389,8011262.3933000015,110611.0,0.09291376315684274,0.03388260528445244,0.12442088983953001,0.11677559598662074,0.03760799542069435,0.1409116756170988,-0.023861832829777996,-0.02850572168827057,0.007430593669414523,-25.681698834539844,200,1045.0139427185059
